#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
-8959142190867965008,0,0,0,-0.0351562,0.0078125,0.0273438
-8959142190859056008,0,0,0,0.00390625,-0.03125,-0.0117188
-8959142190850173008,0,0,0,0.0117188,-0.03125,-0.0117188
-8959077766332527008,0,0,0,0.0117188,-0.03125,-0.0117188
-8959077766322184008,0,0,0,0.078125,-0.105469,0.0273438
-8959077766312665008,-0.00195312,0,0.0234375,0.078125,-0.105469,0.0273438
-8959077766305153008,-0.00195312,0,0.0234375,0.00390625,-0.105469,-0.0117188
-8933252127943798008,-0.00195312,0,0.0234375,0.00390625,-0.105469,-0.0117188
-8907533863765106008,-0.00195312,0,0.0234375,0.00390625,-0.105469,-0.0117188
-8907533863757978008,-0.00195312,0,0.0234375,-2.01953,-0.015625,-0.0117188
-8907533863749725008,-0.00195312,0,0.0234375,-3.58203,0.101562,-0.0507812
-8907533863739971008,-0.00195312,0,0.0234375,-5.11328,0.644531,0.0273438
-8605524648375775008,-0.00195312,0,0.0234375,-5.11328,0.644531,0.0273438
-8605524648368583008,0.00976562,-0.0273438,0.996094,-5.11328,0.644531,0.0273438
-8285798692907568008,0.00976562,-0.0273438,0.996094,-5.11328,0.644531,0.0273438
-8285798692900214008,0.00976562,-0.0273438,0.996094,-1.53516,-0.214844,-0.128906
-8285798692891706008,0.00976562,-0.0273438,0.996094,-0.945312,-0.480469,-0.0117188
-8285798692883562008,0.00976562,-0.0273438,0.996094,-0.332031,-0.703125,-0.0117188
-8285798692872237008,0.00976562,-0.0273438,0.996094,0.0898438,-0.632812,-0.0117188
-7534608912793653008,0.00976562,-0.0273438,0.996094,0.0898438,-0.632812,-0.0117188
-7386333756821625008,0.00976562,-0.0273438,0.996094,0.0898438,-0.632812,-0.0117188
-7386333756815678008,0.00976562,-0.0273438,0.996094,1.82812,-0.917969,-0.394531
-7386333756810784008,0.00976562,-0.0273438,0.996094,2.25,-1.33203,0.410156
-7386333756799890008,0.00976562,-0.0273438,0.996094,4.05859,-1.4375,-0.164062
-7033648222314225008,0.00976562,-0.0273438,0.996094,4.05859,-1.4375,-0.164062
-7033648222304689008,0.00976562,-0.0273438,0.996094,5.58984,-0.671875,0.101562
-7033648222295838008,0.00976562,-0.0273438,0.996094,4.82422,0.714844,0.140625
-6855810806430305008,0.00976562,-0.0273438,0.996094,4.82422,0.714844,0.140625
-6855810806424276008,0.00976562,-0.0273438,0.996094,2.95312,0.21875,-0.128906
-6855810806419330008,0.00976562,-0.0273438,0.996094,2.71484,-0.203125,0.140625
-6855810806413386008,0.00976562,-0.0273438,0.996094,2.67969,-0.359375,0.0664062
-6855810806407348008,0.00976562,-0.0273438,0.996094,2.64062,-0.472656,0.0273438
-6855810806401403008,-0.0078125,-0.00585938,-0.121094,2.64062,-0.472656,0.0273438
-6855810806393724008,-0.0078125,-0.00585938,-0.121094,2.02734,-0.203125,0.0664062
-6855810806385159008,-0.0078125,-0.00585938,-0.121094,1.75781,-0.167969,0.0664062
-6855810806379938008,-0.0078125,-0.00585938,-0.121094,1.30078,0.21875,0.601562
-6855810806371748008,-0.0078125,-0.00585938,-0.121094,1.22266,0.636719,-0.128906
-6855810806362821008,-0.0078125,-0.00585938,-0.121094,1.34375,0.53125,0.601562
-7074102519173224008,-0.0078125,-0.00585938,-0.121094,1.34375,0.53125,0.601562
-7074102519167242008,-0.0078125,-0.00585938,-0.121094,1.16797,-0.0820312,-0.164062
-7074102519160809008,-0.046875,0.166016,-0.441406,1.16797,-0.0820312,-0.164062
-7074102519149224008,-0.046875,0.166016,-0.441406,0.617188,0.15625,0.0273438
-7294734989135744008,-0.046875,0.166016,-0.441406,0.617188,0.15625,0.0273438
-7371971386010877008,-0.046875,0.166016,-0.441406,0.617188,0.15625,0.0273438
-7459142042238786008,-0.046875,0.166016,-0.441406,0.617188,0.15625,0.0273438
-7459142042229196008,-0.046875,0.166016,-0.441406,-1.50391,1.39062,-0.394531
-7459142042219543008,-0.046875,0.166016,-0.441406,-1.42578,1.19141,-0.28125
